"Matchday";"Date";"Time";"Venue";"Ranking";"Opponent";"System_of_play";"Attendance";"Result";"game_name";"country"
"Group 4";"Sat Nov 14, 2020";"8:45 PM";"H";"";"Spain";"3-4-1-2";"x";"1:1";"UEFA Nations League A";"Switzerland"
"Group 4";"Tue Nov 17, 2020";"8:45 PM";"H";"";"Ukraine";"?";"";"3:0";"UEFA Nations League A";"Switzerland"
"Group 2";"Thu Jun 2, 2022";"8:45 PM";"A";"";"Czech Republic";"4-4-2 double 6";"12.236";"2:1";"UEFA Nations League A";"Switzerland"
"Group 2";"Sun Jun 5, 2022";"8:45 PM";"A";"";"Portugal";"4-2-3-1";"42.235";"4:0";"UEFA Nations League A";"Switzerland"
"Group 2";"Thu Jun 9, 2022";"8:45 PM";"H";"";"Spain";"4-3-3 Attacking";"25.875";"0:1";"UEFA Nations League A";"Switzerland"
"Group 2";"Sun Jun 12, 2022";"8:45 PM";"H";"";"Portugal";"4-3-3 Attacking";"26.300";"1:0";"UEFA Nations League A";"Switzerland"
"Group 2";"Sat Sep 24, 2022";"8:45 PM";"A";"";"Spain";"4-2-3-1";"31.809";"1:2";"UEFA Nations League A";"Switzerland"
"Group 2";"Tue Sep 27, 2022";"8:45 PM";"H";"";"Czech Republic";"?";"";"-:-";"UEFA Nations League A";"Switzerland"
"Group 2";"Mon Sep 10, 2018";"8:45 PM";"H";"";"Türkiye";"4-4-2";"";"2:3";"UEFA Nations League B";"Sweden"
"Group 2";"Thu Oct 11, 2018";"9:45 PM";"A";"";"Russia";"4-4-2 double 6";"31.698";"0:0";"UEFA Nations League B";"Sweden"
"Group 2";"Sat Nov 17, 2018";"6:00 PM";"A";"";"Türkiye";"4-4-2";"42.000";"0:1";"UEFA Nations League B";"Sweden"
"Group 2";"Tue Nov 20, 2018";"8:45 PM";"H";"";"Russia";"4-4-2 double 6";"20.223";"2:0";"UEFA Nations League B";"Sweden"
"Group 3";"Sat Sep 5, 2020";"8:45 PM";"H";"";"France";"4-4-2";"";"0:1";"UEFA Nations League A";"Sweden"
"Group 3";"Tue Sep 8, 2020";"8:45 PM";"H";"";"Portugal";"4-4-2 double 6";"";"0:2";"UEFA Nations League A";"Sweden"
"Group 3";"Sun Oct 11, 2020";"6:00 PM";"A";"";"Croatia";"4-4-2 double 6";"2.020";"2:1";"UEFA Nations League A";"Sweden"
"Group 3";"Wed Oct 14, 2020";"8:45 PM";"A";"";"Portugal";"4-4-2 double 6";"5.000";"3:0";"UEFA Nations League A";"Sweden"
"Group 3";"Sat Nov 14, 2020";"8:45 PM";"H";"";"Croatia";"4-4-2";"";"2:1";"UEFA Nations League A";"Sweden"
"Group 3";"Tue Nov 17, 2020";"8:45 PM";"A";"";"France";"4-4-2";"x";"4:2";"UEFA Nations League A";"Sweden"
"Group 4";"Thu Jun 2, 2022";"8:45 PM";"A";"";"Slovenia";"4-3-3 Attacking";"5.123";"0:2";"UEFA Nations League B";"Sweden"
"Group 4";"Sun Jun 5, 2022";"8:45 PM";"H";"";"Norway";"4-3-3 Attacking";"42.320";"1:2";"UEFA Nations League B";"Sweden"
"Group 4";"Thu Jun 9, 2022";"8:45 PM";"H";"";"Serbia";"4-3-3 Attacking";"24.123";"0:1";"UEFA Nations League B";"Sweden"
"Group 4";"Sun Jun 12, 2022";"6:00 PM";"A";"";"Norway";"4-3-3 Attacking";"24.273";"3:2";"UEFA Nations League B";"Sweden"
"Group 4";"Sat Sep 24, 2022";"8:45 PM";"A";"";"Serbia";"3-4-3";"";"4:1";"UEFA Nations League B";"Sweden"
"Group 4";"Tue Sep 27, 2022";"8:45 PM";"H";"";"Slovenia";"";"";"-:-";"UEFA Nations League B";"Sweden"
"Group 2";"Fri Sep 7, 2018";"8:45 PM";"A";"";"Türkiye";"4-2-3-1";"";"1:2";"UEFA Nations League B";"Russia"
"Group 2";"Thu Oct 11, 2018";"9:45 PM";"H";"";"Sweden";"4-2-3-1";"31.698";"0:0";"UEFA Nations League B";"Russia"
"Group 2";"Sun Oct 14, 2018";"6:00 PM";"H";"";"Türkiye";"4-2-3-1";"38.288";"2:0";"UEFA Nations League B";"Russia"
"Group 2";"Tue Nov 20, 2018";"8:45 PM";"A";"";"Sweden";"4-2-3-1";"20.223";"2:0";"UEFA Nations League B";"Russia"
"Group 3";"Thu Sep 3, 2020";"8:45 PM";"H";"";"Serbia";"4-2-3-1";"x";"3:1";"UEFA Nations League B";"Russia"
"Group 3";"Sun Sep 6, 2020";"6:00 PM";"A";"";"Hungary";"4-2-3-1";"x";"2:3";"UEFA Nations League B";"Russia"
"Group 3";"Sun Oct 11, 2020";"8:45 PM";"H";"";"Türkiye";"4-2-3-1";"x";"1:1";"UEFA Nations League B";"Russia"
"Group 3";"Wed Oct 14, 2020";"8:45 PM";"H";"";"Hungary";"4-2-3-1";"x";"0:0";"UEFA Nations League B";"Russia"
"Group 3";"Sun Nov 15, 2020";"6:00 PM";"A";"";"Türkiye";"3-4-3";"x";"3:2";"UEFA Nations League B";"Russia"
"Group 3";"Wed Nov 18, 2020";"8:45 PM";"A";"";"Serbia";"4-2-3-1";"x";"5:0";"UEFA Nations League B";"Russia"
"Group 2";"Sat Sep 8, 2018";"6:00 PM";"A";"";"Switzerland";"4-4-2 double 6";"14.912";"6:0";"UEFA Nations League A";"Iceland"
"Group 2";"Tue Sep 11, 2018";"8:45 PM";"H";"";"Belgium";"4-4-1-1";"9.710";"0:3";"UEFA Nations League A";"Iceland"
"Group 2";"Mon Oct 15, 2018";"8:45 PM";"H";"";"Switzerland";"4-2-3-1";"8.663";"1:2";"UEFA Nations League A";"Iceland"
"Group 2";"Thu Nov 15, 2018";"8:45 PM";"A";"";"Belgium";"4-4-1-1";"28.891";"2:0";"UEFA Nations League A";"Iceland"
"Group 2";"Sat Sep 5, 2020";"6:00 PM";"H";"";"England";"4-4-2 double 6";"x";"0:1";"UEFA Nations League A";"Iceland"
"Group 2";"Tue Sep 8, 2020";"8:45 PM";"A";"";"Belgium";"4-3-3 Attacking";"x";"5:1";"UEFA Nations League A";"Iceland"
"Group 2";"Sun Oct 11, 2020";"8:45 PM";"H";"";"Denmark";"4-4-1-1";"";"0:3";"UEFA Nations League A";"Iceland"
"Group 2";"Wed Oct 14, 2020";"8:45 PM";"H";"";"Belgium";"3-1-4-2";"59";"1:2";"UEFA Nations League A";"Iceland"
"Group 2";"Sun Nov 15, 2020";"8:45 PM";"A";"";"Denmark";"3-5-2";"x";"2:1";"UEFA Nations League A";"Iceland"
"Group 2";"Wed Nov 18, 2020";"8:45 PM";"A";"";"England";"5-3-2";"x";"4:0";"UEFA Nations League A";"Iceland"
"Group 2";"Thu Jun 2, 2022";"8:45 PM";"A";"";"Israel";"4-3-3 Attacking";"13.150";"2:2";"UEFA Nations League B";"Iceland"
"Group 2";"Mon Jun 6, 2022";"8:45 PM";"H";"";"Albania";"4-3-3 Attacking";"4.033";"1:1";"UEFA Nations League B";"Iceland"
"Group 2";"Mon Jun 13, 2022";"8:45 PM";"H";"";"Israel";"4-3-3 Attacking";"2.778";"2:2";"UEFA Nations League B";"Iceland"
"Group 2";"Tue Sep 27, 2022";"8:45 PM";"A";"";"Albania";"";"";"-:-";"UEFA Nations League B";"Iceland"
