"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
NA;"So. 22.05.2016";"18:15";"H";"";"Türkei";"4-2-3-1";"44.860";"2:1";"Freundschaftsspiele";"england"
NA;"Fr. 27.05.2016";"20:45";"H";"";"Australien";"4-3-3 offensiv";"46.595";"2:1";"Freundschaftsspiele";"england"
NA;"Do. 02.06.2016";"20:45";"H";"";"Portugal";"4-3-1-2";"82.503";"1:0";"Freundschaftsspiele";"england"
NA;"Di. 15.11.2016";"21:00";"H";"";"Spanien";"4-3-3 offensiv";"83.716";"2:2";"Freundschaftsspiele";"england"
NA;"Mi. 22.03.2017";"20:45";"A";"";"Deutschland";"3-4-2-1";"60.109";"1:0";"Freundschaftsspiele";"england"
NA;"Di. 13.06.2017";"21:00";"A";"";"Frankreich";"3-5-2 flach";"80.000";"3:2";"Freundschaftsspiele";"england"
NA;"Fr. 10.11.2017";"21:00";"H";"";"Deutschland";"5-3-2";"81.382";"0:0";"Freundschaftsspiele";"england"
NA;"Di. 14.11.2017";"21:00";"H";"";"Brasilien";"5-3-2";"84.595";"0:0";"Freundschaftsspiele";"england"
"Gruppe G";"Mo. 18.06.2018";"20:00";"A";"";"Tunesien";"3-1-4-2";"41.064";"1:2";"Weltmeisterschaft 2018";"england"
"Gruppe G";"So. 24.06.2018";"14:00";"H";"";"Panama";"3-1-4-2";"43.319";"6:1";"Weltmeisterschaft 2018";"england"
"Gruppe G";"Do. 28.06.2018";"20:00";"H";"";"Belgien";"3-5-2 flach";"33.973";"0:1";"Weltmeisterschaft 2018";"england"
"Achtelfinale";"Di. 03.07.2018";"20:00";"A";"";"Kolumbien";"3-1-4-2";"44.190";"4:5  n.E.";"Weltmeisterschaft 2018";"england"
"Viertelfinale";"Sa. 07.07.2018";"16:00";"A";"";"Schweden";"3-1-4-2";"39.991";"0:2";"Weltmeisterschaft 2018";"england"
"Halbfinale";"Mi. 11.07.2018";"20:00";"A";"";"Kroatien";"3-1-4-2";"78.011";"2:1  n.V.";"Weltmeisterschaft 2018";"england"
"Spiel um Platz Drei";"Sa. 14.07.2018";"16:00";"A";"";"Belgien";"3-5-2 flach";"64.406";"2:0";"Weltmeisterschaft 2018";"england"
NA;"Fr. 23.03.2018";"20:45";"A";"";"Niederlande";"5-3-2";"51.500";"0:1";"Freundschaftsspiele";"england"
NA;"Di. 27.03.2018";"21:00";"H";"";"Italien";"3-1-4-2";"82.598";"1:1";"Freundschaftsspiele";"england"
NA;"Sa. 02.06.2018";"18:15";"H";"";"Nigeria";"3-1-4-2";"70.025";"2:1";"Freundschaftsspiele";"england"
NA;"Do. 07.06.2018";"21:00";"H";"";"Costa Rica";"3-5-2 flach";"36.104";"2:0";"Freundschaftsspiele";"england"
NA;"Di. 11.09.2018";"21:00";"H";"";"Schweiz";"3-5-2 flach";"30.256";"1:0";"Freundschaftsspiele";"england"
NA;"Do. 15.11.2018";"21:00";"H";"";"Vereinigte Staaten";"4-3-3 offensiv";"68.155";"3:0";"Freundschaftsspiele";"england"
NA;"Do. 08.10.2020";"21:00";"H";"";"Wales";"3-4-1-2";"x";"3:0";"Freundschaftsspiele";"england"
NA;"Do. 12.11.2020";"21:00";"H";"";"Irland";"3-4-2-1";"x";"3:0";"Freundschaftsspiele";"england"
NA;"Mi. 02.06.2021";"21:00";"H";"";"Österreich";"4-2-3-1";"8.750";"1:0";"Freundschaftsspiele";"england"
NA;"So. 06.06.2021";"18:00";"H";"";"Rumänien";"4-2-3-1";"8.450";"1:0";"Freundschaftsspiele";"england"
"Gruppe B";"Mo. 21.11.2022";"14:00";"H";"";"Iran";"?";"";"-:-";"Weltmeisterschaft 2022";"england"
"Gruppe B";"Fr. 25.11.2022";"20:00";"H";"";"Vereinigte Staaten";"?";"";"-:-";"Weltmeisterschaft 2022";"england"
"Gruppe B";"Di. 29.11.2022";"20:00";"A";"";"Wales";"?";"";"-:-";"Weltmeisterschaft 2022";"england"
NA;"Sa. 26.03.2022";"18:30";"H";"";"Schweiz";"3-4-2-1";"78.881";"2:1";"Freundschaftsspiele";"england"
NA;"Di. 29.03.2022";"20:45";"H";"";"Elfenbeinküste";"4-2-3-1";"73.405";"3:0";"Freundschaftsspiele";"england"
"Gruppe A";"Fr. 11.06.2010";"20:30";"A";"";"Uruguay";"4-2-3-1";"64.100";"0:0";"Weltmeisterschaft 2010";"frankreich"
"Gruppe A";"Do. 17.06.2010";"20:30";"H";"";"Mexiko";"4-2-3-1";"35.370";"0:2";"Weltmeisterschaft 2010";"frankreich"
"Gruppe A";"Di. 22.06.2010";"16:00";"H";"";"Südafrika";"4-2-3-1";"39.415";"1:2";"Weltmeisterschaft 2010";"frankreich"
NA;"Mi. 03.03.2010";"21:00";"H";"";"Spanien";"4-2-3-1";"79.021";"0:2";"Freundschaftsspiele";"frankreich"
NA;"Mi. 26.05.2010";"21:00";"H";"";"Costa Rica";"4-3-3 offensiv";"40.000";"2:1";"Freundschaftsspiele";"frankreich"
NA;"So. 30.05.2010";"21:00";"A";"";"Tunesien";"4-3-3 offensiv";"55.000";"1:1";"Freundschaftsspiele";"frankreich"
NA;"Fr. 04.06.2010";"18:00";"H";"";"China";"4-3-3 defensiv";"10.403";"0:1";"Freundschaftsspiele";"frankreich"
NA;"Mi. 11.08.2010";"21:15";"A";"";"Norwegen";"4-4-2 Raute";"15.165";"2:1";"Freundschaftsspiele";"frankreich"
NA;"Mi. 17.11.2010";"21:00";"A";"";"England";"4-3-3 offensiv";"85.495";"1:2";"Freundschaftsspiele";"frankreich"
NA;"Mi. 09.02.2011";"21:00";"H";"";"Brasilien";"4-2-3-1";"79.712";"1:0";"Freundschaftsspiele";"frankreich"
NA;"Di. 29.03.2011";"21:00";"H";"";"Kroatien";"4-3-3 defensiv";"60.000";"0:0";"Freundschaftsspiele";"frankreich"
NA;"Di. 07.06.2011";"00:00";"A";"";"Ukraine";"4-3-3 offensiv";"11.200";"1:4";"Freundschaftsspiele";"frankreich"
NA;"Do. 09.06.2011";"21:00";"A";"";"Polen";"4-3-3 offensiv";"31.000";"0:1";"Freundschaftsspiele";"frankreich"
NA;"Mi. 10.08.2011";"21:00";"H";"";"Chile";"4-3-3 offensiv";"30.000";"1:1";"Freundschaftsspiele";"frankreich"
NA;"Fr. 11.11.2011";"21:00";"H";"";"Vereinigte Staaten";"4-4-2 doppel 6";"70.018";"1:0";"Freundschaftsspiele";"frankreich"
NA;"Di. 15.11.2011";"21:00";"H";"";"Belgien";"4-3-3 offensiv";"50.000";"0:0";"Freundschaftsspiele";"frankreich"
NA;"Mi. 29.02.2012";"20:45";"A";"";"Deutschland";"4-2-3-1";"37.800";"1:2";"Freundschaftsspiele";"frankreich"
NA;"So. 27.05.2012";"21:00";"H";"";"Island";"4-3-3 offensiv";"20.580";"3:2";"Freundschaftsspiele";"frankreich"
NA;"Do. 31.05.2012";"21:00";"H";"";"Serbien";"4-3-3 offensiv";"19.000";"2:0";"Freundschaftsspiele";"frankreich"
NA;"Di. 05.06.2012";"21:00";"H";"";"Estland";"4-2-3-1";"24.000";"4:0";"Freundschaftsspiele";"frankreich"
NA;"Mi. 15.08.2012";"21:00";"H";"";"Uruguay";"4-2-3-1";"25.000";"0:0";"Freundschaftsspiele";"frankreich"
NA;"Fr. 12.10.2012";"21:00";"H";"";"Japan";"4-3-3 offensiv";"55.000";"0:1";"Freundschaftsspiele";"frankreich"
NA;"Mi. 14.11.2012";"20:50";"A";"";"Italien";"4-2-3-1";"20.000";"1:2";"Freundschaftsspiele";"frankreich"
NA;"Mi. 06.02.2013";"21:00";"H";"";"Deutschland";"4-2-3-1";"75.000";"1:2";"Freundschaftsspiele";"frankreich"
NA;"Mi. 05.06.2013";"21:00";"A";"";"Uruguay";"4-2-3-1";"35.000";"1:0";"Freundschaftsspiele";"frankreich"
NA;"So. 09.06.2013";"21:00";"A";"";"Brasilien";"4-3-3 offensiv";"51.919";"3:0";"Freundschaftsspiele";"frankreich"
NA;"Mi. 14.08.2013";"21:00";"A";"";"Belgien";"4-2-3-1";"41.773";"0:0";"Freundschaftsspiele";"frankreich"
NA;"Fr. 11.10.2013";"21:00";"H";"";"Australien";"4-2-3-1";"38.000";"6:0";"Freundschaftsspiele";"frankreich"
"Gruppe E";"So. 15.06.2014";"21:00";"H";"";"Honduras";"4-3-3 offensiv";"43.012";"3:0";"Weltmeisterschaft 2014";"frankreich"
"Gruppe E";"Fr. 20.06.2014";"21:00";"A";"";"Schweiz";"4-3-3 offensiv";"51.003";"2:5";"Weltmeisterschaft 2014";"frankreich"
"Gruppe E";"Mi. 25.06.2014";"22:00";"A";"";"Ecuador";"4-3-3 offensiv";"74.545";"0:0";"Weltmeisterschaft 2014";"frankreich"
"Achtelfinale";"Mo. 30.06.2014";"18:00";"H";"";"Nigeria";"4-3-3 offensiv";"67.882";"2:0";"Weltmeisterschaft 2014";"frankreich"
"Viertelfinale";"Fr. 04.07.2014";"18:00";"H";"";"Deutschland";"4-3-3 offensiv";"74.240";"0:1";"Weltmeisterschaft 2014";"frankreich"
NA;"Mi. 05.03.2014";"21:00";"H";"";"Niederlande";"4-3-3 offensiv";"78.292";"2:0";"Freundschaftsspiele";"frankreich"
NA;"Di. 27.05.2014";"21:00";"H";"";"Norwegen";"4-3-3 offensiv";"75.000";"4:0";"Freundschaftsspiele";"frankreich"
NA;"So. 01.06.2014";"21:00";"H";"";"Paraguay";"4-3-3 offensiv";"35.200";"1:1";"Freundschaftsspiele";"frankreich"
NA;"So. 08.06.2014";"00:00";"H";"";"Jamaika";"4-3-3 offensiv";"49.600";"8:0";"Freundschaftsspiele";"frankreich"
NA;"Do. 04.09.2014";"21:00";"H";"";"Spanien";"4-2-3-1";"80.000";"1:0";"Freundschaftsspiele";"frankreich"
NA;"So. 07.09.2014";"20:45";"A";"";"Serbien";"4-3-3 offensiv";"12.500";"1:1";"Freundschaftsspiele";"frankreich"
NA;"Sa. 11.10.2014";"20:45";"H";"";"Portugal";"4-3-3 offensiv";"";"2:1";"Freundschaftsspiele";"frankreich"
NA;"Di. 14.10.2014";"18:00";"A";"";"Armenien";"4-2-3-1";"10.000";"0:3";"Freundschaftsspiele";"frankreich"
NA;"Fr. 14.11.2014";"20:45";"H";"";"Albanien";"4-3-1-2";"26.527";"1:1";"Freundschaftsspiele";"frankreich"
NA;"Di. 18.11.2014";"21:00";"H";"";"Schweden";"4-2-3-1";"67.000";"1:0";"Freundschaftsspiele";"frankreich"
NA;"Do. 26.03.2015";"21:00";"H";"";"Brasilien";"4-3-3 offensiv";"";"1:3";"Freundschaftsspiele";"frankreich"
NA;"So. 29.03.2015";"21:00";"H";"";"Dänemark";"4-2-3-1";"38.458";"2:0";"Freundschaftsspiele";"frankreich"
NA;"So. 07.06.2015";"21:00";"H";"";"Belgien";"4-3-3 defensiv";"70.000";"3:4";"Freundschaftsspiele";"frankreich"
NA;"Sa. 13.06.2015";"18:00";"A";"";"Albanien";"4-2-3-1";"12.000";"1:0";"Freundschaftsspiele";"frankreich"
NA;"Fr. 04.09.2015";"20:45";"A";"";"Portugal";"4-3-1-2";"39.853";"0:1";"Freundschaftsspiele";"frankreich"
NA;"Mo. 07.09.2015";"20:45";"H";"";"Serbien";"4-3-3 offensiv";"42.000";"2:1";"Freundschaftsspiele";"frankreich"
NA;"Do. 08.10.2015";"20:45";"H";"";"Armenien";"4-3-3 offensiv";"32.136";"4:0";"Freundschaftsspiele";"frankreich"
NA;"So. 11.10.2015";"20:45";"A";"";"Dänemark";"4-3-3 offensiv";"18.145";"1:2";"Freundschaftsspiele";"frankreich"
NA;"Fr. 13.11.2015";"21:00";"H";"";"Deutschland";"4-3-3 offensiv";"60.000";"2:0";"Freundschaftsspiele";"frankreich"
NA;"Di. 17.11.2015";"21:00";"A";"";"England";"4-3-3 offensiv";"71.223";"2:0";"Freundschaftsspiele";"frankreich"
NA;"Fr. 25.03.2016";"20:45";"A";"";"Niederlande";"4-3-3 offensiv";"40.000";"2:3";"Freundschaftsspiele";"frankreich"
NA;"Di. 29.03.2016";"21:00";"H";"";"Russland";"4-3-3 offensiv";"65.000";"4:2";"Freundschaftsspiele";"frankreich"
NA;"Mo. 30.05.2016";"21:00";"H";"";"Kamerun";"4-3-3 offensiv";"37.000";"3:2";"Freundschaftsspiele";"frankreich"
NA;"Sa. 04.06.2016";"21:00";"H";"";"Schottland";"4-3-3 offensiv";"25.000";"3:0";"Freundschaftsspiele";"frankreich"
NA;"Do. 01.09.2016";"21:00";"A";"";"Italien";"4-3-3 offensiv";"39.000";"1:3";"Freundschaftsspiele";"frankreich"
NA;"Di. 15.11.2016";"21:00";"H";"";"Elfenbeinküste";"4-3-3 offensiv";"35.000";"0:0";"Freundschaftsspiele";"frankreich"
NA;"Di. 28.03.2017";"21:00";"H";"";"Spanien";"4-3-3 offensiv";"79.021";"0:2";"Freundschaftsspiele";"frankreich"
NA;"Fr. 02.06.2017";"21:00";"H";"";"Paraguay";"4-2-3-1";"28.256";"5:0";"Freundschaftsspiele";"frankreich"
NA;"Di. 13.06.2017";"21:00";"H";"";"England";"4-4-2 doppel 6";"80.000";"3:2";"Freundschaftsspiele";"frankreich"
NA;"Fr. 10.11.2017";"21:00";"H";"";"Wales";"4-4-2 doppel 6";"50.000";"2:0";"Freundschaftsspiele";"frankreich"
NA;"Di. 14.11.2017";"20:45";"A";"";"Deutschland";"4-3-3 offensiv";"36.948";"2:2";"Freundschaftsspiele";"frankreich"
"Gruppe C";"Sa. 16.06.2018";"12:00";"H";"";"Australien";"4-3-3 offensiv";"41.279";"2:1";"Weltmeisterschaft 2018";"frankreich"
"Gruppe C";"Do. 21.06.2018";"17:00";"H";"";"Peru";"4-2-3-1";"32.789";"1:0";"Weltmeisterschaft 2018";"frankreich"
"Gruppe C";"Di. 26.06.2018";"16:00";"A";"";"Dänemark";"4-2-3-1";"78.011";"0:0";"Weltmeisterschaft 2018";"frankreich"
"Achtelfinale";"Sa. 30.06.2018";"16:00";"H";"";"Argentinien";"4-2-3-1";"42.873";"4:3";"Weltmeisterschaft 2018";"frankreich"
"Viertelfinale";"Fr. 06.07.2018";"16:00";"A";"";"Uruguay";"4-2-3-1";"43.319";"0:2";"Weltmeisterschaft 2018";"frankreich"
"Halbfinale";"Di. 10.07.2018";"20:00";"H";"";"Belgien";"4-2-3-1";"64.286";"1:0";"Weltmeisterschaft 2018";"frankreich"
"Finale";"So. 15.07.2018";"17:00";"H";"";"Kroatien";"4-2-3-1";"78.011";"4:2";"Weltmeisterschaft 2018";"frankreich"
NA;"Fr. 23.03.2018";"21:00";"H";"";"Kolumbien";"4-2-3-1";"80.000";"2:3";"Freundschaftsspiele";"frankreich"
NA;"Di. 27.03.2018";"17:50";"A";"";"Russland";"4-3-3 offensiv";"51.165";"1:3";"Freundschaftsspiele";"frankreich"
NA;"Mo. 28.05.2018";"21:00";"H";"";"Irland";"4-1-4-1";"70.000";"2:0";"Freundschaftsspiele";"frankreich"
NA;"Fr. 01.06.2018";"21:00";"H";"";"Italien";"4-3-3 offensiv";"34.500";"3:1";"Freundschaftsspiele";"frankreich"
NA;"Sa. 09.06.2018";"21:00";"H";"";"Vereinigte Staaten";"4-3-3 offensiv";"58.241";"1:1";"Freundschaftsspiele";"frankreich"
NA;"Do. 11.10.2018";"21:00";"H";"";"Island";"4-2-3-1";"18.000";"2:2";"Freundschaftsspiele";"frankreich"
NA;"Di. 20.11.2018";"21:00";"H";"";"Uruguay";"4-2-3-1";"70.000";"1:0";"Freundschaftsspiele";"frankreich"
