"";"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
"584";NA;"Mi. 03.03.2010";"20:45";"H";"";"Vereinigte Staaten";"4-2-3-1";"46.630";"2:1";"Freundschaftsspiele";"niederlande"
"585";NA;"Mi. 26.05.2010";"20:00";"H";"";"Mexiko";"4-2-3-1";"20.000";"2:1";"Freundschaftsspiele";"niederlande"
"586";NA;"Di. 01.06.2010";"20:30";"H";"";"Ghana";"4-2-3-1";"45.000";"4:1";"Freundschaftsspiele";"niederlande"
"587";NA;"Sa. 05.06.2010";"14:00";"H";"";"Ungarn";"4-2-3-1";"45.000";"6:1";"Freundschaftsspiele";"niederlande"
"588";NA;"Mi. 11.08.2010";"20:00";"A";"";"Ukraine";"4-2-3-1";"18.051";"1:1";"Freundschaftsspiele";"niederlande"
"589";NA;"Mi. 17.11.2010";"20:30";"H";"";"Türkei";"4-2-3-1";"35.500";"1:0";"Freundschaftsspiele";"niederlande"
"590";NA;"Mi. 09.02.2011";"20:30";"H";"";"Österreich";"4-2-3-1";"33.000";"3:1";"Freundschaftsspiele";"niederlande"
"591";NA;"Sa. 04.06.2011";"21:10";"A";"";"Brasilien";"4-3-3 defensiv";"36.449";"0:0";"Freundschaftsspiele";"niederlande"
"592";NA;"Mi. 08.06.2011";"20:00";"A";"";"Uruguay";"4-3-3 defensiv";"55.000";"1:1";"Freundschaftsspiele";"niederlande"
"593";NA;"Fr. 11.11.2011";"20:30";"H";"";"Schweiz";"4-3-3 offensiv";"47.500";"0:0";"Freundschaftsspiele";"niederlande"
"594";NA;"Di. 15.11.2011";"20:45";"A";"";"Deutschland";"4-2-3-1";"51.500";"3:0";"Freundschaftsspiele";"niederlande"
"595";NA;"Mi. 29.02.2012";"21:00";"A";"";"England";"4-2-3-1";"76.283";"2:3";"Freundschaftsspiele";"niederlande"
"596";NA;"Sa. 26.05.2012";"20:00";"H";"";"Bulgarien";"4-3-3 defensiv";"51.000";"1:2";"Freundschaftsspiele";"niederlande"
"597";NA;"Mi. 30.05.2012";"20:30";"H";"";"Slowakei";"4-3-3 defensiv";"";"2:0";"Freundschaftsspiele";"niederlande"
"598";NA;"Sa. 02.06.2012";"20:00";"H";"";"Nordirland";"4-3-3 defensiv";"";"6:0";"Freundschaftsspiele";"niederlande"
"599";NA;"Mi. 15.08.2012";"20:45";"A";"";"Belgien";"4-3-3 offensiv";"46.000";"4:2";"Freundschaftsspiele";"niederlande"
"600";NA;"Mi. 14.11.2012";"20:30";"H";"";"Deutschland";"4-3-3 offensiv";"51.628";"0:0";"Freundschaftsspiele";"niederlande"
"601";NA;"Mi. 06.02.2013";"20:30";"H";"";"Italien";"4-3-3 defensiv";"45.000";"1:1";"Freundschaftsspiele";"niederlande"
"602";NA;"Fr. 07.06.2013";"15:30";"A";"";"Indonesien";"4-3-3 defensiv";"40.000";"0:3";"Freundschaftsspiele";"niederlande"
"603";NA;"Di. 11.06.2013";"14:00";"A";"";"China";"4-2-3-1";"35.000";"0:2";"Freundschaftsspiele";"niederlande"
"604";NA;"Mi. 14.08.2013";"21:30";"A";"";"Portugal";"4-3-3 offensiv";"29.020";"1:1";"Freundschaftsspiele";"niederlande"
"605";NA;"Sa. 16.11.2013";"13:15";"A";"";"Japan";"4-3-3 defensiv";"13.616";"2:2";"Freundschaftsspiele";"niederlande"
"606";NA;"Di. 19.11.2013";"20:30";"H";"";"Kolumbien";"4-3-3 defensiv";"51.000";"0:0";"Freundschaftsspiele";"niederlande"
"607";"Gruppe B";"Fr. 13.06.2014";"21:00";"A";"";"Spanien";"5-3-2";"48.173";"1:5";"Weltmeisterschaft 2014";"niederlande"
"608";"Gruppe B";"Mi. 18.06.2014";"18:00";"A";"";"Australien";"5-3-2";"42.877";"2:3";"Weltmeisterschaft 2014";"niederlande"
"609";"Gruppe B";"Mo. 23.06.2014";"18:00";"H";"";"Chile";"3-5-2";"62.699";"2:0";"Weltmeisterschaft 2014";"niederlande"
"610";"Achtelfinale";"So. 29.06.2014";"18:00";"H";"";"Mexiko";"3-5-2";"58.817";"2:1";"Weltmeisterschaft 2014";"niederlande"
"611";"Viertelfinale";"Sa. 05.07.2014";"22:00";"H";"";"Costa Rica";"3-4-3";"51.179";"4:3  n.E.";"Weltmeisterschaft 2014";"niederlande"
"612";"Halbfinale";"Mi. 09.07.2014";"22:00";"H";"";"Argentinien";"3-5-2";"63.267";"2:4  n.E.";"Weltmeisterschaft 2014";"niederlande"
"613";"Spiel um Platz Drei";"Sa. 12.07.2014";"22:00";"A";"";"Brasilien";"3-5-2";"68.034";"0:3";"Weltmeisterschaft 2014";"niederlande"
"614";NA;"Mi. 05.03.2014";"21:00";"A";"";"Frankreich";"4-3-3 defensiv";"78.292";"2:0";"Freundschaftsspiele";"niederlande"
"615";NA;"Sa. 17.05.2014";"20:30";"H";"";"Ecuador";"5-3-2";"50.000";"1:1";"Freundschaftsspiele";"niederlande"
"616";NA;"Sa. 31.05.2014";"20:30";"H";"";"Ghana";"5-3-2";"51.117";"1:0";"Freundschaftsspiele";"niederlande"
"617";NA;"Mi. 04.06.2014";"20:30";"H";"";"Wales";"4-4-2 Raute";"51.000";"2:0";"Freundschaftsspiele";"niederlande"
"618";NA;"Do. 04.09.2014";"20:45";"A";"";"Italien";"4-3-3 defensiv";"50.000";"2:0";"Freundschaftsspiele";"niederlande"
"619";NA;"Mi. 12.11.2014";"20:30";"H";"";"Mexiko";"4-3-3 offensiv";"40.500";"2:3";"Freundschaftsspiele";"niederlande"
"620";NA;"Di. 31.03.2015";"20:45";"H";"";"Spanien";"4-3-3 offensiv";"51.500";"2:0";"Freundschaftsspiele";"niederlande"
"621";NA;"Fr. 05.06.2015";"20:30";"H";"";"Vereinigte Staaten";"4-2-3-1";"46.000";"3:4";"Freundschaftsspiele";"niederlande"
"622";NA;"Fr. 13.11.2015";"20:45";"A";"";"Wales";"5-3-2";"25.669";"2:3";"Freundschaftsspiele";"niederlande"
"623";NA;"Fr. 25.03.2016";"20:45";"H";"";"Frankreich";"5-3-2";"40.000";"2:3";"Freundschaftsspiele";"niederlande"
"624";NA;"Di. 29.03.2016";"21:00";"A";"";"England";"4-3-3 defensiv";"82.835";"1:2";"Freundschaftsspiele";"niederlande"
"625";NA;"Fr. 27.05.2016";"20:45";"A";"";"Irland";"4-3-3 defensiv";"42.438";"1:1";"Freundschaftsspiele";"niederlande"
"626";NA;"Mi. 01.06.2016";"20:45";"A";"";"Polen";"4-3-3 offensiv";"40.392";"1:2";"Freundschaftsspiele";"niederlande"
"627";NA;"Sa. 04.06.2016";"20:30";"A";"";"Österreich";"4-3-3 offensiv";"48.000";"0:2";"Freundschaftsspiele";"niederlande"
"628";NA;"Do. 01.09.2016";"20:45";"H";"";"Griechenland";"4-3-3 defensiv";"";"1:2";"Freundschaftsspiele";"niederlande"
"629";NA;"Mi. 09.11.2016";"20:45";"H";"";"Belgien";"4-3-3 offensiv";"37.500";"1:1";"Freundschaftsspiele";"niederlande"
"630";NA;"Di. 28.03.2017";"20:45";"H";"";"Italien";"4-3-3 offensiv";"46.228";"1:2";"Freundschaftsspiele";"niederlande"
"631";NA;"Mi. 31.05.2017";"19:30";"A";"";"Marokko";"4-3-3 defensiv";"";"1:2";"Freundschaftsspiele";"niederlande"
"632";NA;"So. 04.06.2017";"19:30";"H";"";"Elfenbeinküste";"4-3-3 defensiv";"";"5:0";"Freundschaftsspiele";"niederlande"
"633";NA;"Do. 09.11.2017";"20:45";"A";"";"Schottland";"4-3-3 offensiv";"17.883";"0:1";"Freundschaftsspiele";"niederlande"
"634";NA;"Di. 14.11.2017";"20:00";"A";"";"Rumänien";"4-3-3 offensiv";"26.000";"0:3";"Freundschaftsspiele";"niederlande"
"635";NA;"Fr. 23.03.2018";"20:45";"H";"";"England";"5-4-1 flach";"51.500";"0:1";"Freundschaftsspiele";"niederlande"
"636";NA;"Mo. 26.03.2018";"20:30";"H";"";"Portugal";"3-5-2 flach";"20.000";"3:0";"Freundschaftsspiele";"niederlande"
"637";NA;"Do. 31.05.2018";"20:45";"A";"";"Slowakei";"5-3-2";"15.432";"1:1";"Freundschaftsspiele";"niederlande"
"638";NA;"Mo. 04.06.2018";"20:45";"A";"";"Italien";"3-5-2";"20.500";"1:1";"Freundschaftsspiele";"niederlande"
"639";NA;"Do. 06.09.2018";"20:45";"H";"";"Peru";"3-4-2-1";"40.127";"2:1";"Freundschaftsspiele";"niederlande"
"640";NA;"Di. 16.10.2018";"20:45";"A";"";"Belgien";"5-3-2";"34.747";"1:1";"Freundschaftsspiele";"niederlande"
"641";NA;"Mi. 07.10.2020";"20:45";"H";"";"Mexiko";"4-3-3 defensiv";"x";"0:1";"Freundschaftsspiele";"niederlande"
"642";NA;"Mi. 11.11.2020";"20:45";"H";"";"Spanien";"4-3-3 defensiv";"x";"1:1";"Freundschaftsspiele";"niederlande"
"643";NA;"Mi. 02.06.2021";"20:45";"H";"";"Schottland";"3-5-2";"x";"2:2";"Freundschaftsspiele";"niederlande"
"644";NA;"So. 06.06.2021";"18:00";"H";"";"Georgien";"3-5-2";"12.000";"3:0";"Freundschaftsspiele";"niederlande"
"645";"Gruppe A";"Mo. 21.11.2022";"17:00";"A";"";"Senegal";"?";"";"-:-";"Weltmeisterschaft 2022";"niederlande"
"646";"Gruppe A";"Fr. 25.11.2022";"17:00";"H";"";"Ecuador";"?";"";"-:-";"Weltmeisterschaft 2022";"niederlande"
"647";"Gruppe A";"Di. 29.11.2022";"16:00";"H";"";"Katar";"?";"";"-:-";"Weltmeisterschaft 2022";"niederlande"
"648";NA;"Sa. 26.03.2022";"20:45";"H";"";"Dänemark";"5-3-2";"";"4:2";"Freundschaftsspiele";"niederlande"
"649";NA;"Di. 29.03.2022";"20:45";"H";"";"Deutschland";"3-4-1-2";"50.387";"1:1";"Freundschaftsspiele";"niederlande"
"650";"Gruppe A";"Fr. 11.06.2010";"20:30";"H";"";"Frankreich";"3-5-2";"64.100";"0:0";"Weltmeisterschaft 2010";"uruguay"
"651";"Gruppe A";"Mi. 16.06.2010";"20:30";"A";"";"Südafrika";"4-4-2 Raute";"42.658";"0:3";"Weltmeisterschaft 2010";"uruguay"
"652";"Gruppe A";"Di. 22.06.2010";"16:00";"A";"";"Mexiko";"4-4-2 Raute";"33.425";"0:1";"Weltmeisterschaft 2010";"uruguay"
"653";"Achtelfinale";"Sa. 26.06.2010";"16:00";"H";"";"Südkorea";"4-4-2 Raute";"30.597";"2:1";"Weltmeisterschaft 2010";"uruguay"
"654";"Viertelfinale";"Fr. 02.07.2010";"20:30";"H";"";"Ghana";"4-4-2 doppel 6";"84.000";"5:3  n.E.";"Weltmeisterschaft 2010";"uruguay"
"655";"Halbfinale";"Di. 06.07.2010";"20:30";"H";"";"Niederlande";"4-4-2 doppel 6";"62.479";"2:3";"Weltmeisterschaft 2010";"uruguay"
"656";"Spiel um Platz Drei";"Sa. 10.07.2010";"20:30";"H";"";"Deutschland";"4-4-2 doppel 6";"36.254";"2:3";"Weltmeisterschaft 2010";"uruguay"
"657";NA;"Mi. 03.03.2010";"20:15";"A";"";"Schweiz";"4-4-2 doppel 6";"12.540";"1:3";"Freundschaftsspiele";"uruguay"
"658";NA;"Do. 27.05.2010";"02:30";"H";"";"Israel";"4-4-2 Raute";"47.734";"4:1";"Freundschaftsspiele";"uruguay"
"659";NA;"Mi. 11.08.2010";"00:00";"A";"";"Angola";"3-4-1-2";"1.500";"0:2";"Freundschaftsspiele";"uruguay"
"660";NA;"Fr. 08.10.2010";"00:00";"A";"";"Indonesien";"4-4-2 doppel 6";"";"1:7";"Freundschaftsspiele";"uruguay"
"661";NA;"Di. 12.10.2010";"13:30";"A";"";"China";"4-4-2 doppel 6";"";"0:4";"Freundschaftsspiele";"uruguay"
"662";NA;"Do. 18.11.2010";"00:45";"A";"";"Chile";"4-3-1-2";"45.017";"2:0";"Freundschaftsspiele";"uruguay"
"663";NA;"Fr. 25.03.2011";"18:00";"A";"";"Estland";"4-3-3 offensiv";"6.817";"2:0";"Freundschaftsspiele";"uruguay"
"664";NA;"So. 29.05.2011";"20:00";"A";"";"Deutschland";"4-3-1-2";"25.655";"2:1";"Freundschaftsspiele";"uruguay"
"665";NA;"Mi. 08.06.2011";"20:00";"H";"";"Niederlande";"4-4-2 doppel 6";"55.000";"1:1";"Freundschaftsspiele";"uruguay"
"666";NA;"Fr. 24.06.2011";"00:30";"H";"";"Estland";"4-3-3 offensiv";"25.000";"3:0";"Freundschaftsspiele";"uruguay"
"667";NA;"Fr. 02.09.2011";"20:00";"A";"";"Ukraine";"4-4-2 doppel 6";"33.000";"2:3";"Freundschaftsspiele";"uruguay"
"668";NA;"Di. 15.11.2011";"20:45";"A";"";"Italien";"4-4-2 doppel 6";"";"0:1";"Freundschaftsspiele";"uruguay"
"669";NA;"Mi. 29.02.2012";"19:30";"A";"";"Rumänien";"4-3-3 offensiv";"25.000";"1:1";"Freundschaftsspiele";"uruguay"
"670";NA;"Fr. 25.05.2012";"18:45";"A";"";"Russland";"4-3-1-2";"";"1:1";"Freundschaftsspiele";"uruguay"
"671";NA;"Mi. 15.08.2012";"21:00";"A";"";"Frankreich";"3-4-2-1";"25.000";"0:0";"Freundschaftsspiele";"uruguay"
"672";NA;"Mi. 14.11.2012";"20:45";"A";"";"Polen";"4-3-1-2";"39.460";"1:3";"Freundschaftsspiele";"uruguay"
"673";NA;"Mi. 06.02.2013";"19:00";"A";"";"Spanien";"4-2-3-1";"48.000";"3:1";"Freundschaftsspiele";"uruguay"
"674";NA;"Mi. 05.06.2013";"21:00";"H";"";"Frankreich";"3-5-2";"35.000";"1:0";"Freundschaftsspiele";"uruguay"
"675";NA;"Mi. 14.08.2013";"12:20";"A";"";"Japan";"4-3-1-2";"45.883";"2:4";"Freundschaftsspiele";"uruguay"
"676";"Gruppe D";"Sa. 14.06.2014";"21:00";"H";"";"Costa Rica";"4-4-2 doppel 6";"58.679";"1:3";"Weltmeisterschaft 2014";"uruguay"
"677";"Gruppe D";"Do. 19.06.2014";"21:00";"H";"";"England";"4-4-2 Raute";"62.103";"2:1";"Weltmeisterschaft 2014";"uruguay"
"678";"Gruppe D";"Di. 24.06.2014";"18:00";"A";"";"Italien";"4-4-2 Raute";"39.000";"0:1";"Weltmeisterschaft 2014";"uruguay"
"679";"Achtelfinale";"Sa. 28.06.2014";"22:00";"A";"";"Kolumbien";"5-3-2";"73.804";"2:0";"Weltmeisterschaft 2014";"uruguay"
"680";NA;"Mi. 05.03.2014";"20:30";"A";"";"Österreich";"4-4-2 doppel 6";"22.000";"1:1";"Freundschaftsspiele";"uruguay"
"681";NA;"Sa. 31.05.2014";"01:30";"H";"";"Nordirland";"4-4-2 doppel 6";"45.000";"1:0";"Freundschaftsspiele";"uruguay"
"682";NA;"Do. 05.06.2014";"01:30";"H";"";"Slowenien";"4-4-2 doppel 6";"55.000";"2:0";"Freundschaftsspiele";"uruguay"
"683";NA;"Fr. 05.09.2014";"12:25";"A";"";"Japan";"4-4-2 Raute";"39.294";"0:2";"Freundschaftsspiele";"uruguay"
"684";NA;"Mo. 08.09.2014";"13:00";"A";"";"Südkorea";"4-4-2 Raute";"38.183";"0:1";"Freundschaftsspiele";"uruguay"
"685";NA;"Fr. 10.10.2014";"19:00";"A";"";"Saudi-Arabien";"4-4-2 doppel 6";"";"1:1";"Freundschaftsspiele";"uruguay"
"686";NA;"Mo. 13.10.2014";"16:30";"A";"";"Oman";"4-2-3-1";"";"0:3";"Freundschaftsspiele";"uruguay"
"687";NA;"Fr. 14.11.2014";"00:00";"H";"";"Costa Rica";"4-4-2 doppel 6";"";"6:7  n.E.";"Freundschaftsspiele";"uruguay"
"688";NA;"Mi. 19.11.2014";"01:00";"A";"";"Chile";"4-4-2 doppel 6";"";"1:2";"Freundschaftsspiele";"uruguay"
"689";NA;"Sa. 28.03.2015";"20:00";"A";"";"Marokko";"4-3-3 offensiv";"58.000";"0:1";"Freundschaftsspiele";"uruguay"
"690";NA;"So. 07.06.2015";"00:01";"H";"";"Guatemala";"4-4-2";"18.500";"5:1";"Freundschaftsspiele";"uruguay"
"691";NA;"Sa. 05.09.2015";"03:30";"A";"";"Panama";"4-4-2";"";"0:1";"Freundschaftsspiele";"uruguay"
"692";NA;"Mi. 09.09.2015";"04:00";"A";"";"Costa Rica";"4-3-2-1";"";"1:0";"Freundschaftsspiele";"uruguay"
"693";NA;"Sa. 28.05.2016";"01:00";"H";"";"Trinidad und Tobago";"4-4-2 doppel 6";"10.000";"3:1";"Freundschaftsspiele";"uruguay"
"694";NA;"So. 04.06.2017";"19:00";"A";"";"Irland";"4-4-2";"27.193";"3:1";"Freundschaftsspiele";"uruguay"
"695";NA;"Mi. 07.06.2017";"20:45";"A";"";"Italien";"4-1-4-1";"15.000";"3:0";"Freundschaftsspiele";"uruguay"
"696";NA;"Fr. 10.11.2017";"20:45";"A";"";"Polen";"4-2-3-1";"56.147";"0:0";"Freundschaftsspiele";"uruguay"
"697";NA;"Di. 14.11.2017";"20:45";"A";"";"Österreich";"4-2-3-1";"11.700";"2:1";"Freundschaftsspiele";"uruguay"
"698";"Gruppe A";"Fr. 15.06.2018";"14:00";"A";"";"Ägypten";"4-4-2";"27.015";"0:1";"Weltmeisterschaft 2018";"uruguay"
"699";"Gruppe A";"Mi. 20.06.2018";"17:00";"H";"";"Saudi-Arabien";"4-4-2";"42.678";"1:0";"Weltmeisterschaft 2018";"uruguay"
"700";"Gruppe A";"Mo. 25.06.2018";"16:00";"H";"";"Russland";"4-3-1-2";"41.970";"3:0";"Weltmeisterschaft 2018";"uruguay"
"701";"Achtelfinale";"Sa. 30.06.2018";"20:00";"H";"";"Portugal";"4-3-1-2";"44.287";"2:1";"Weltmeisterschaft 2018";"uruguay"
"702";"Viertelfinale";"Fr. 06.07.2018";"16:00";"H";"";"Frankreich";"4-3-1-2";"43.319";"0:2";"Weltmeisterschaft 2018";"uruguay"
"703";NA;"Fr. 23.03.2018";"12:35";"H";"";"Tschechien";"4-4-2";"";"2:0";"Freundschaftsspiele";"uruguay"
"704";NA;"Mo. 26.03.2018";"13:35";"A";"";"Wales";"4-4-2";"41.016";"0:1";"Freundschaftsspiele";"uruguay"
"705";NA;"Fr. 08.06.2018";"01:10";"H";"";"Usbekistan";"4-3-1-2";"50.600";"3:0";"Freundschaftsspiele";"uruguay"
"706";NA;"Sa. 08.09.2018";"04:05";"A";"";"Mexiko";"4-1-4-1";"60.617";"1:4";"Freundschaftsspiele";"uruguay"
"707";NA;"Fr. 12.10.2018";"13:00";"A";"";"Südkorea";"4-3-1-2";"64.170";"2:1";"Freundschaftsspiele";"uruguay"
"708";NA;"Di. 16.10.2018";"12:35";"A";"";"Japan";"4-4-1-1";"57.239";"4:3";"Freundschaftsspiele";"uruguay"
"709";NA;"Fr. 16.11.2018";"21:00";"A";"";"Brasilien";"4-1-4-1";"";"1:0";"Freundschaftsspiele";"uruguay"
"710";NA;"Di. 20.11.2018";"21:00";"A";"";"Frankreich";"4-4-1-1";"70.000";"1:0";"Freundschaftsspiele";"uruguay"
"711";NA;"Fr. 22.03.2019";"12:35";"H";"";"Usbekistan";"4-2-3-1";"18.721";"3:0";"Freundschaftsspiele";"uruguay"
"712";NA;"Mo. 25.03.2019";"12:35";"A";"";"Thailand";"4-2-3-1";"18.721";"0:4";"Freundschaftsspiele";"uruguay"
"713";NA;"Sa. 08.06.2019";"01:15";"H";"";"Panama";"4-2-3-1";"40.000";"3:0";"Freundschaftsspiele";"uruguay"
"714";NA;"Sa. 07.09.2019";"04:00";"A";"";"Costa Rica";"4-1-4-1";"";"1:2";"Freundschaftsspiele";"uruguay"
"715";NA;"Mi. 11.09.2019";"02:00";"A";"";"Vereinigte Staaten";"4-1-4-1";"20.625";"1:1";"Freundschaftsspiele";"uruguay"
"716";NA;"Sa. 12.10.2019";"01:00";"H";"";"Peru";"4-1-4-1";"";"1:0";"Freundschaftsspiele";"uruguay"
"717";NA;"Mi. 16.10.2019";"03:30";"A";"";"Peru";"4-1-4-1";"";"1:1";"Freundschaftsspiele";"uruguay"
"718";NA;"Fr. 15.11.2019";"19:00";"A";"";"Ungarn";"4-4-2";"65.114";"1:2";"Freundschaftsspiele";"uruguay"
"719";NA;"Mo. 18.11.2019";"20:15";"A";"";"Argentinien";"4-4-2 doppel 6";"";"2:2";"Freundschaftsspiele";"uruguay"
"720";"Gruppe H";"Do. 24.11.2022";"14:00";"H";"";"Südkorea";"?";"";"-:-";"Weltmeisterschaft 2022";"uruguay"
"721";"Gruppe H";"Mo. 28.11.2022";"20:00";"A";"";"Portugal";"?";"";"-:-";"Weltmeisterschaft 2022";"uruguay"
"722";"Gruppe H";"Fr. 02.12.2022";"16:00";"A";"";"Ghana";"?";"";"-:-";"Weltmeisterschaft 2022";"uruguay"
"723";NA;"Fr. 03.06.2022";"04:00";"A";"";"Mexiko";"4-1-4-1";"57.735";"0:3";"Freundschaftsspiele";"uruguay"
"724";NA;"So. 05.06.2022";"23:00";"A";"";"Vereinigte Staaten";"3-5-2 flach";"";"0:0";"Freundschaftsspiele";"uruguay"
"725";NA;"Sa. 11.06.2022";"22:00";"H";"";"Panama";"4-3-3 offensiv";"";"5:0";"Freundschaftsspiele";"uruguay"
"726";"Gruppe D";"So. 13.06.2010";"16:00";"H";"";"Ghana";"4-4-2";"38.833";"0:1";"Weltmeisterschaft 2010";"serbien"
"727";"Gruppe D";"Fr. 18.06.2010";"13:30";"A";"";"Deutschland";"4-3-3 offensiv";"38.294";"0:1";"Weltmeisterschaft 2010";"serbien"
"728";"Gruppe D";"Mi. 23.06.2010";"20:30";"A";"";"Australien";"4-3-3 defensiv";"37.836";"2:1";"Weltmeisterschaft 2010";"serbien"
"729";NA;"Mi. 03.03.2010";"19:15";"A";"";"Algerien";"4-4-2 doppel 6";"65.000";"0:3";"Freundschaftsspiele";"serbien"
"730";NA;"Mi. 07.04.2010";"12:20";"A";"";"Japan";"4-4-2 doppel 6";"46.270";"0:3";"Freundschaftsspiele";"serbien"
"731";NA;"Sa. 29.05.2010";"17:15";"H";"";"Neuseeland";"4-4-2";"14.000";"0:1";"Freundschaftsspiele";"serbien"
"732";NA;"Mi. 02.06.2010";"20:30";"A";"";"Polen";"?";"3.000";"0:0";"Freundschaftsspiele";"serbien"
"733";NA;"Sa. 05.06.2010";"20:30";"H";"";"Kamerun";"?";"3.000";"4:3";"Freundschaftsspiele";"serbien"
"734";NA;"Mi. 11.08.2010";"20:30";"H";"";"Griechenland";"?";"10.000";"0:1";"Freundschaftsspiele";"serbien"
"735";NA;"Mi. 17.11.2010";"18:00";"A";"";"Bulgarien";"?";"1.500";"0:1";"Freundschaftsspiele";"serbien"
"736";NA;"Mi. 09.02.2011";"19:00";"A";"";"Israel";"4-2-3-1";"7.783";"0:2";"Freundschaftsspiele";"serbien"
"737";NA;"Fr. 03.06.2011";"13:00";"A";"";"Südkorea";"?";"40.876";"2:1";"Freundschaftsspiele";"serbien"
"738";NA;"Di. 07.06.2011";"11:30";"A";"";"Australien";"4-3-3 offensiv";"28.149";"0:0";"Freundschaftsspiele";"serbien"
"739";NA;"Mi. 10.08.2011";"17:00";"A";"";"Russland";"4-2-3-1";"19.131";"1:0";"Freundschaftsspiele";"serbien"
"740";NA;"Sa. 12.11.2011";"03:00";"A";"";"Mexiko";"4-2-3-1";"35.000";"2:0";"Freundschaftsspiele";"serbien"
"741";NA;"Di. 15.11.2011";"02:30";"A";"";"Honduras";"4-2-3-1";"20.000";"2:0";"Freundschaftsspiele";"serbien"
"742";NA;"Di. 28.02.2012";"15:00";"H";"";"Armenien";"4-2-3-1";"150";"2:0";"Freundschaftsspiele";"serbien"
"743";NA;"Mi. 29.02.2012";"15:00";"A";"";"Zypern";"4-2-3-1";"300";"0:0";"Freundschaftsspiele";"serbien"
"744";NA;"Sa. 26.05.2012";"18:00";"A";"";"Spanien";"3-4-2-1";"15.625";"2:0";"Freundschaftsspiele";"serbien"
"745";NA;"Do. 31.05.2012";"21:00";"A";"";"Frankreich";"3-4-2-1";"19.000";"2:0";"Freundschaftsspiele";"serbien"
"746";NA;"Di. 05.06.2012";"19:00";"A";"";"Schweden";"3-4-2-1";"20.691";"2:1";"Freundschaftsspiele";"serbien"
"747";NA;"Mi. 15.08.2012";"20:45";"H";"";"Irland";"4-3-3 defensiv";"7.800";"0:0";"Freundschaftsspiele";"serbien"
"748";NA;"Mi. 14.11.2012";"20:00";"A";"";"Chile";"4-2-3-1";"2.116";"1:3";"Freundschaftsspiele";"serbien"
"749";NA;"Mi. 06.02.2013";"17:00";"A";"";"Zypern";"4-2-3-1";"1.000";"1:3";"Freundschaftsspiele";"serbien"
"750";NA;"Mi. 14.08.2013";"20:00";"A";"";"Kolumbien";"4-2-3-1";"5.000";"1:0";"Freundschaftsspiele";"serbien"
"751";NA;"Fr. 11.10.2013";"17:30";"H";"";"Japan";"4-2-3-1";"7.500";"2:0";"Freundschaftsspiele";"serbien"
"752";NA;"Fr. 15.11.2013";"17:30";"A";"";"Russland";"4-2-3-1";"4.600";"1:1";"Freundschaftsspiele";"serbien"
"753";NA;"Mi. 05.03.2014";"20:45";"A";"";"Irland";"4-2-3-1";"37.243";"1:2";"Freundschaftsspiele";"serbien"
"754";NA;"Mo. 26.05.2014";"22:00";"A";"";"Jamaika";"4-2-3-1";"2.000";"1:2";"Freundschaftsspiele";"serbien"
"755";NA;"So. 01.06.2014";"02:00";"A";"";"Panama";"4-2-3-1";"3.000";"1:1";"Freundschaftsspiele";"serbien"
"756";NA;"Fr. 06.06.2014";"00:00";"A";"";"Brasilien";"4-2-3-1";"67.042";"1:0";"Freundschaftsspiele";"serbien"
"757";NA;"So. 07.09.2014";"20:45";"H";"";"Frankreich";"4-4-2 doppel 6";"12.500";"1:1";"Freundschaftsspiele";"serbien"
"758";NA;"Di. 18.11.2014";"18:00";"A";"";"Griechenland";"4-2-3-1";"3.500";"0:2";"Freundschaftsspiele";"serbien"
"759";NA;"So. 07.06.2015";"17:00";"H";"";"Aserbaidschan";"4-2-3-1";"3.000";"4:1";"Freundschaftsspiele";"serbien"
"760";NA;"Mo. 07.09.2015";"20:45";"A";"";"Frankreich";"4-5-1 flach";"42.000";"2:1";"Freundschaftsspiele";"serbien"
"761";NA;"Fr. 13.11.2015";"20:30";"A";"";"Tschechien";"4-2-3-1";"14.975";"4:1";"Freundschaftsspiele";"serbien"
"762";NA;"Mi. 23.03.2016";"20:45";"A";"";"Polen";"4-2-3-1";"38.271";"1:0";"Freundschaftsspiele";"serbien"
"763";NA;"Di. 29.03.2016";"18:00";"A";"";"Estland";"4-2-3-1";"2.858";"0:1";"Freundschaftsspiele";"serbien"
"764";NA;"Mi. 25.05.2016";"17:00";"H";"";"Zypern";"5-4-1 flach";"7.000";"2:1";"Freundschaftsspiele";"serbien"
"765";NA;"Di. 31.05.2016";"20:15";"H";"";"Israel";"5-3-2";"10.000";"3:1";"Freundschaftsspiele";"serbien"
"766";NA;"So. 05.06.2016";"18:00";"H";"";"Russland";"5-4-1 flach";"500";"1:1";"Freundschaftsspiele";"serbien"
"767";NA;"Di. 15.11.2016";"00:00";"A";"";"Ukraine";"5-4-1 flach";"30.000";"2:0";"Freundschaftsspiele";"serbien"
"768";NA;"So. 29.01.2017";"21:00";"A";"";"Vereinigte Staaten";"4-2-3-1";"20.079";"0:0";"Freundschaftsspiele";"serbien"
"769";NA;"Fr. 10.11.2017";"12:35";"A";"";"China";"4-2-3-1";"17.160";"0:2";"Freundschaftsspiele";"serbien"
"770";NA;"Di. 14.11.2017";"12:45";"A";"";"Südkorea";"4-2-3-1";"30.560";"1:1";"Freundschaftsspiele";"serbien"
