"";"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
"38";NA;"Sa. 26.03.2016";"20:45";"A";"";"Deutschland";"4-3-3 offensiv";"72.000";"2:3";"Freundschaftsspiele";"england"
"39";NA;"Di. 29.03.2016";"21:00";"H";"";"Niederlande";"4-4-2 Raute";"82.835";"1:2";"Freundschaftsspiele";"england"
"40";NA;"So. 22.05.2016";"18:15";"H";"";"Türkei";"4-2-3-1";"44.860";"2:1";"Freundschaftsspiele";"england"
"41";NA;"Fr. 27.05.2016";"20:45";"H";"";"Australien";"4-3-3 offensiv";"46.595";"2:1";"Freundschaftsspiele";"england"
"42";NA;"Do. 02.06.2016";"20:45";"H";"";"Portugal";"4-3-1-2";"82.503";"1:0";"Freundschaftsspiele";"england"
"43";NA;"Di. 15.11.2016";"21:00";"H";"";"Spanien";"4-3-3 offensiv";"83.716";"2:2";"Freundschaftsspiele";"england"
"44";NA;"Mi. 22.03.2017";"20:45";"A";"";"Deutschland";"3-4-2-1";"60.109";"1:0";"Freundschaftsspiele";"england"
"45";NA;"Di. 13.06.2017";"21:00";"A";"";"Frankreich";"3-5-2 flach";"80.000";"3:2";"Freundschaftsspiele";"england"
"46";NA;"Fr. 10.11.2017";"21:00";"H";"";"Deutschland";"5-3-2";"81.382";"0:0";"Freundschaftsspiele";"england"
"47";NA;"Di. 14.11.2017";"21:00";"H";"";"Brasilien";"5-3-2";"84.595";"0:0";"Freundschaftsspiele";"england"
"48";"Gruppe G";"Mo. 18.06.2018";"20:00";"A";"";"Tunesien";"3-1-4-2";"41.064";"1:2";"Weltmeisterschaft 2018";"england"
"49";"Gruppe G";"So. 24.06.2018";"14:00";"H";"";"Panama";"3-1-4-2";"43.319";"6:1";"Weltmeisterschaft 2018";"england"
"50";"Gruppe G";"Do. 28.06.2018";"20:00";"H";"";"Belgien";"3-5-2 flach";"33.973";"0:1";"Weltmeisterschaft 2018";"england"
"51";"Achtelfinale";"Di. 03.07.2018";"20:00";"A";"";"Kolumbien";"3-1-4-2";"44.190";"4:5  n.E.";"Weltmeisterschaft 2018";"england"
"52";"Viertelfinale";"Sa. 07.07.2018";"16:00";"A";"";"Schweden";"3-1-4-2";"39.991";"0:2";"Weltmeisterschaft 2018";"england"
"53";"Halbfinale";"Mi. 11.07.2018";"20:00";"A";"";"Kroatien";"3-1-4-2";"78.011";"2:1  n.V.";"Weltmeisterschaft 2018";"england"
"54";"Spiel um Platz Drei";"Sa. 14.07.2018";"16:00";"A";"";"Belgien";"3-5-2 flach";"64.406";"2:0";"Weltmeisterschaft 2018";"england"
"55";NA;"Fr. 23.03.2018";"20:45";"A";"";"Niederlande";"5-3-2";"51.500";"0:1";"Freundschaftsspiele";"england"
"56";NA;"Di. 27.03.2018";"21:00";"H";"";"Italien";"3-1-4-2";"82.598";"1:1";"Freundschaftsspiele";"england"
"57";NA;"Sa. 02.06.2018";"18:15";"H";"";"Nigeria";"3-1-4-2";"70.025";"2:1";"Freundschaftsspiele";"england"
"58";NA;"Do. 07.06.2018";"21:00";"H";"";"Costa Rica";"3-5-2 flach";"36.104";"2:0";"Freundschaftsspiele";"england"
"59";NA;"Di. 11.09.2018";"21:00";"H";"";"Schweiz";"3-5-2 flach";"30.256";"1:0";"Freundschaftsspiele";"england"
"60";NA;"Do. 15.11.2018";"21:00";"H";"";"Vereinigte Staaten";"4-3-3 offensiv";"68.155";"3:0";"Freundschaftsspiele";"england"
"61";NA;"Do. 08.10.2020";"21:00";"H";"";"Wales";"3-4-1-2";"x";"3:0";"Freundschaftsspiele";"england"
"62";NA;"Do. 12.11.2020";"21:00";"H";"";"Irland";"3-4-2-1";"x";"3:0";"Freundschaftsspiele";"england"
"63";NA;"Mi. 02.06.2021";"21:00";"H";"";"Österreich";"4-2-3-1";"8.750";"1:0";"Freundschaftsspiele";"england"
"64";NA;"So. 06.06.2021";"18:00";"H";"";"Rumänien";"4-2-3-1";"8.450";"1:0";"Freundschaftsspiele";"england"
"65";"Gruppe B";"Mo. 21.11.2022";"14:00";"H";"";"Iran";"?";"";"-:-";"Weltmeisterschaft 2022";"england"
"66";"Gruppe B";"Fr. 25.11.2022";"20:00";"H";"";"Vereinigte Staaten";"?";"";"-:-";"Weltmeisterschaft 2022";"england"
"67";"Gruppe B";"Di. 29.11.2022";"20:00";"A";"";"Wales";"?";"";"-:-";"Weltmeisterschaft 2022";"england"
"68";NA;"Sa. 26.03.2022";"18:30";"H";"";"Schweiz";"3-4-2-1";"78.881";"2:1";"Freundschaftsspiele";"england"
"69";NA;"Di. 29.03.2022";"20:45";"H";"";"Elfenbeinküste";"4-2-3-1";"73.405";"3:0";"Freundschaftsspiele";"england"
"70";"Gruppe A";"Fr. 11.06.2010";"20:30";"A";"";"Uruguay";"4-2-3-1";"64.100";"0:0";"Weltmeisterschaft 2010";"frankreich"
"71";"Gruppe A";"Do. 17.06.2010";"20:30";"H";"";"Mexiko";"4-2-3-1";"35.370";"0:2";"Weltmeisterschaft 2010";"frankreich"
"72";"Gruppe A";"Di. 22.06.2010";"16:00";"H";"";"Südafrika";"4-2-3-1";"39.415";"1:2";"Weltmeisterschaft 2010";"frankreich"
"73";NA;"Mi. 03.03.2010";"21:00";"H";"";"Spanien";"4-2-3-1";"79.021";"0:2";"Freundschaftsspiele";"frankreich"
"74";NA;"Mi. 26.05.2010";"21:00";"H";"";"Costa Rica";"4-3-3 offensiv";"40.000";"2:1";"Freundschaftsspiele";"frankreich"
"75";NA;"So. 30.05.2010";"21:00";"A";"";"Tunesien";"4-3-3 offensiv";"55.000";"1:1";"Freundschaftsspiele";"frankreich"
"76";NA;"Fr. 04.06.2010";"18:00";"H";"";"China";"4-3-3 defensiv";"10.403";"0:1";"Freundschaftsspiele";"frankreich"
