"";"_Spieltag";"Datum";"Uhrzeit";"Heimmannschaft";"Gastmannschaft";"Spielsystem";"Trainer";"Zuschauer";"Ergebnis";"country"
"323";"Gruppe D";"Di. 22.11.2022";"14:00";"Dänemark";"Tunesien";"?";"Jalel Kadri";"";"-:-";"tunesien"
"324";"Gruppe D";"Sa. 26.11.2022";"11:00";"Tunesien";"Australien";"?";"Jalel Kadri";"";"-:-";"tunesien"
"325";"Gruppe D";"Mi. 30.11.2022";"16:00";"Tunesien";"Frankreich";"?";"Jalel Kadri";"";"-:-";"tunesien"
"326";"Gruppe A";"Do. 14.06.2018";"17:00";"Russland";"Saudi-Arabien";"4-1-4-1";"Juan Antonio Pizzi";"78.011";"5:0";"saudi-arabien"
"327";"Gruppe A";"Mi. 20.06.2018";"17:00";"Uruguay";"Saudi-Arabien";"4-2-3-1";"Juan Antonio Pizzi";"42.678";"1:0";"saudi-arabien"
"328";"Gruppe A";"Mo. 25.06.2018";"16:00";"Saudi-Arabien";"Ägypten";"4-1-4-1";"Juan Antonio Pizzi";"36.823";"2:1";"saudi-arabien"
"329";"Gruppe C";"Di. 22.11.2022";"11:00";"Argentinien";"Saudi-Arabien";"?";"Hervé Renard";"";"-:-";"saudi-arabien"
"330";"Gruppe C";"Sa. 26.11.2022";"14:00";"Polen";"Saudi-Arabien";"?";"Hervé Renard";"";"-:-";"saudi-arabien"
"331";"Gruppe C";"Mi. 30.11.2022";"20:00";"Saudi-Arabien";"Mexiko";"?";"Hervé Renard";"";"-:-";"saudi-arabien"
"332";"Gruppe E";"Mo. 14.06.2010";"16:00";"Japan";"Kamerun";"4-1-4-1";"Takeshi Okada";"30.620";"1:0";"japan"
"333";"Gruppe E";"Sa. 19.06.2010";"13:30";"Niederlande";"Japan";"4-1-4-1";"Takeshi Okada";"62.010";"1:0";"japan"
"334";"Gruppe E";"Do. 24.06.2010";"20:30";"Dänemark";"Japan";"4-1-4-1";"Takeshi Okada";"27.967";"1:3";"japan"
"335";"Achtelfinale";"Di. 29.06.2010";"16:00";"Paraguay";"Japan";"4-3-3 offensiv";"Takeshi Okada";"36.742";"5:3  n.E.";"japan"
"336";"Gruppe C";"So. 15.06.2014";"03:00";"Elfenbeinküste";"Japan";"4-2-3-1";"Alberto Zaccheroni";"40.267";"2:1";"japan"
"337";"Gruppe C";"Fr. 20.06.2014";"00:00";"Japan";"Griechenland";"4-2-3-1";"Alberto Zaccheroni";"39.485";"0:0";"japan"
"338";"Gruppe C";"Di. 24.06.2014";"22:00";"Japan";"Kolumbien";"4-2-3-1";"Alberto Zaccheroni";"40.340";"1:4";"japan"
"339";"Gruppe H";"Di. 19.06.2018";"14:00";"Kolumbien";"Japan";"4-2-3-1";"Akira Nishino";"40.842";"1:2";"japan"
"340";"Gruppe H";"So. 24.06.2018";"17:00";"Japan";"Senegal";"4-2-3-1";"Akira Nishino";"32.572";"2:2";"japan"
"341";"Gruppe H";"Do. 28.06.2018";"16:00";"Japan";"Polen";"4-2-3-1";"Akira Nishino";"42.189";"0:1";"japan"
"342";"Achtelfinale";"Mo. 02.07.2018";"20:00";"Belgien";"Japan";"4-2-3-1";"Akira Nishino";"41.466";"3:2";"japan"
"343";"Gruppe E";"Mi. 23.11.2022";"14:00";"Deutschland";"Japan";"?";"Hajime Moriyasu";"";"-:-";"japan"
"344";"Gruppe E";"So. 27.11.2022";"11:00";"Japan";"Costa Rica";"?";"Hajime Moriyasu";"";"-:-";"japan"
"345";"Gruppe E";"Do. 01.12.2022";"20:00";"Japan";"Spanien";"?";"Hajime Moriyasu";"";"-:-";"japan"
"346";"Gruppe B";"Sa. 12.06.2010";"13:30";"Südkorea";"Griechenland";"4-2-3-1";"Jung-moo Huh";"31.513";"2:0";"sudkorea"
"347";"Gruppe B";"Do. 17.06.2010";"13:30";"Argentinien";"Südkorea";"4-2-3-1";"Jung-moo Huh";"82.174";"4:1";"sudkorea"
"348";"Gruppe B";"Di. 22.06.2010";"20:30";"Nigeria";"Südkorea";"4-4-2 doppel 6";"Jung-moo Huh";"61.874";"2:2";"sudkorea"
"349";"Achtelfinale";"Sa. 26.06.2010";"16:00";"Uruguay";"Südkorea";"4-2-3-1";"Jung-moo Huh";"30.597";"2:1";"sudkorea"
"350";"Gruppe H";"Mi. 18.06.2014";"18:00";"Russland";"Südkorea";"4-2-3-1";"Myung-bo Hong";"37.603";"1:1";"sudkorea"
"351";"Gruppe H";"So. 22.06.2014";"21:00";"Südkorea";"Algerien";"4-2-3-1";"Myung-bo Hong";"42.732";"2:4";"sudkorea"
"352";"Gruppe H";"Do. 26.06.2014";"22:00";"Südkorea";"Belgien";"4-2-3-1";"Myung-bo Hong";"61.397";"0:1";"sudkorea"
"353";"Gruppe F";"Mo. 18.06.2018";"14:00";"Schweden";"Südkorea";"4-3-3 offensiv";"Tae-yong Shin";"42.300";"1:0";"sudkorea"
"354";"Gruppe F";"Sa. 23.06.2018";"17:00";"Südkorea";"Mexiko";"4-3-3 offensiv";"Tae-yong Shin";"43.472";"1:2";"sudkorea"
"355";"Gruppe F";"Mi. 27.06.2018";"16:00";"Südkorea";"Deutschland";"4-4-2 doppel 6";"Tae-yong Shin";"41.835";"2:0";"sudkorea"
"356";"Gruppe H";"Do. 24.11.2022";"14:00";"Uruguay";"Südkorea";"?";"Paulo Bento";"";"-:-";"sudkorea"
"357";"Gruppe H";"Mo. 28.11.2022";"14:00";"Südkorea";"Ghana";"?";"Paulo Bento";"";"-:-";"sudkorea"
"358";"Gruppe H";"Fr. 02.12.2022";"16:00";"Südkorea";"Portugal";"?";"Paulo Bento";"";"-:-";"sudkorea"
"359";"Gruppe A";"So. 20.11.2022";"17:00";"Katar";"Ecuador";"?";"Félix Sánchez Bas";"";"-:-";"katar"
"360";"Gruppe A";"Fr. 25.11.2022";"14:00";"Katar";"Senegal";"?";"Félix Sánchez Bas";"";"-:-";"katar"
"361";"Gruppe A";"Di. 29.11.2022";"16:00";"Niederlande";"Katar";"?";"Félix Sánchez Bas";"";"-:-";"katar"
"362";"Gruppe D";"Sa. 14.06.2014";"21:00";"Uruguay";"Costa Rica";"5-4-1 flach";"Jorge Luis Pinto";"58.679";"1:3";"costa-rica"
"363";"Gruppe D";"Fr. 20.06.2014";"18:00";"Italien";"Costa Rica";"5-4-1 flach";"Jorge Luis Pinto";"40.285";"0:1";"costa-rica"
"364";"Gruppe D";"Di. 24.06.2014";"18:00";"Costa Rica";"England";"5-4-1 flach";"Jorge Luis Pinto";"57.823";"0:0";"costa-rica"
"365";"Achtelfinale";"So. 29.06.2014";"22:00";"Costa Rica";"Griechenland";"5-4-1 flach";"Jorge Luis Pinto";"41.242";"6:4  n.E.";"costa-rica"
"366";"Viertelfinale";"Sa. 05.07.2014";"22:00";"Niederlande";"Costa Rica";"5-4-1 flach";"Jorge Luis Pinto";"51.179";"4:3  n.E.";"costa-rica"
"367";"Gruppe E";"So. 17.06.2018";"14:00";"Costa Rica";"Serbien";"5-4-1 flach";"Óscar Ramírez";"41.970";"0:1";"costa-rica"
"368";"Gruppe E";"Fr. 22.06.2018";"14:00";"Brasilien";"Costa Rica";"5-4-1 flach";"Óscar Ramírez";"64.468";"2:0";"costa-rica"
"369";"Gruppe E";"Mi. 27.06.2018";"20:00";"Schweiz";"Costa Rica";"5-4-1 flach";"Óscar Ramírez";"43.319";"2:2";"costa-rica"
"370";"Gruppe E";"Mi. 23.11.2022";"17:00";"Spanien";"Costa Rica";"?";"";"";"-:-";"costa-rica"
"371";"Gruppe E";"So. 27.11.2022";"11:00";"Japan";"Costa Rica";"?";"";"";"-:-";"costa-rica"
"372";"Gruppe E";"Do. 01.12.2022";"20:00";"Costa Rica";"Deutschland";"?";"";"";"-:-";"costa-rica"
