"_Spieltag";"Datum";"Uhrzeit";"Ort";"Rang";"Gegner";"Spielsystem";"Zuschauer";"Ergebnis";"game_name";"country"
"Gruppe I";"Di. 10.09.2013";"21:00";"A";"";"Belarus";"4-4-2 doppel 6";"12.203";"2:4";"WM-Qualifikation Europa";"frankreich"
"Gruppe I";"Di. 15.10.2013";"21:00";"H";"";"Finnland";"4-2-3-1";"70.156";"3:0";"WM-Qualifikation Europa";"frankreich"
"Gruppe A";"Di. 06.09.2016";"20:45";"A";"";"Belarus";"4-2-3-1";"12.920";"0:0";"WM-Qualifikation Europa";"frankreich"
"Gruppe A";"Fr. 07.10.2016";"20:45";"H";"";"Bulgarien";"4-4-1-1";"63.430";"4:1";"WM-Qualifikation Europa";"frankreich"
"Gruppe A";"Mo. 10.10.2016";"20:45";"A";"";"Niederlande";"4-2-3-1";"50.220";"0:1";"WM-Qualifikation Europa";"frankreich"
"Gruppe A";"Fr. 11.11.2016";"20:45";"H";"";"Schweden";"4-2-3-1";"80.000";"2:1";"WM-Qualifikation Europa";"frankreich"
"Gruppe A";"Sa. 25.03.2017";"20:45";"A";"";"Luxemburg";"4-2-3-1";"8.054";"1:3";"WM-Qualifikation Europa";"frankreich"
"Gruppe A";"Fr. 09.06.2017";"20:45";"A";"";"Schweden";"4-2-3-1";"48.783";"2:1";"WM-Qualifikation Europa";"frankreich"
"Gruppe A";"Do. 31.08.2017";"20:45";"H";"";"Niederlande";"4-2-3-1";"79.551";"4:0";"WM-Qualifikation Europa";"frankreich"
"Gruppe A";"So. 03.09.2017";"20:45";"H";"";"Luxemburg";"4-4-2 doppel 6";"31.177";"0:0";"WM-Qualifikation Europa";"frankreich"
"Gruppe A";"Sa. 07.10.2017";"20:45";"A";"";"Bulgarien";"4-3-3 offensiv";"12.921";"0:1";"WM-Qualifikation Europa";"frankreich"
"Gruppe A";"Di. 10.10.2017";"20:45";"H";"";"Belarus";"4-4-2";"74.037";"2:1";"WM-Qualifikation Europa";"frankreich"
"Gruppe D";"Mi. 24.03.2021";"20:45";"H";"";"Ukraine";"4-2-3-1";"x";"1:1";"WM-Qualifikation Europa";"frankreich"
"Gruppe D";"So. 28.03.2021";"15:00";"A";"";"Kasachstan";"4-2-3-1";"x";"0:2";"WM-Qualifikation Europa";"frankreich"
"Gruppe D";"Mi. 31.03.2021";"20:45";"A";"";"Bosnien-Herzegowina";"4-4-2 doppel 6";"";"0:1";"WM-Qualifikation Europa";"frankreich"
"Gruppe D";"Mi. 01.09.2021";"20:45";"H";"";"Bosnien-Herzegowina";"4-3-3 offensiv";"";"1:1";"WM-Qualifikation Europa";"frankreich"
"Gruppe D";"Sa. 04.09.2021";"20:45";"A";"";"Ukraine";"4-3-3 offensiv";"";"1:1";"WM-Qualifikation Europa";"frankreich"
"Gruppe D";"Di. 07.09.2021";"20:45";"H";"";"Finnland";"3-4-1-2";"";"2:0";"WM-Qualifikation Europa";"frankreich"
"Gruppe D";"Sa. 13.11.2021";"20:45";"H";"";"Kasachstan";"3-4-1-2";"";"8:0";"WM-Qualifikation Europa";"frankreich"
"Gruppe D";"Di. 16.11.2021";"20:45";"A";"";"Finnland";"3-4-1-2";"";"0:2";"WM-Qualifikation Europa";"frankreich"
"Gruppe C";"Fr. 07.09.2012";"20:45";"H";"";"Färöer";"4-1-4-1";"32.769";"3:0";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Di. 11.09.2012";"20:35";"A";"";"Österreich";"4-2-3-1";"47.000";"1:2";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Fr. 12.10.2012";"20:45";"A";"";"Irland";"4-2-3-1";"40.000";"1:6";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Di. 16.10.2012";"20:45";"H";"";"Schweden";"4-2-3-1";"72.369";"4:4";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Fr. 22.03.2013";"19:00";"A";"";"Kasachstan";"4-2-3-1";"30.000";"0:3";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Di. 26.03.2013";"20:45";"H";"";"Kasachstan";"4-2-3-1";"43.500";"4:1";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Fr. 06.09.2013";"20:45";"H";"";"Österreich";"4-2-3-1";"68.000";"3:0";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Di. 10.09.2013";"20:45";"A";"";"Färöer";"4-2-3-1";"4.818";"0:3";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Fr. 11.10.2013";"20:45";"H";"";"Irland";"4-2-3-1";"46.237";"3:0";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Di. 15.10.2013";"20:45";"A";"";"Schweden";"4-2-3-1";"50.000";"3:5";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"So. 04.09.2016";"20:45";"A";"";"Norwegen";"4-2-3-1";"26.793";"0:3";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Sa. 08.10.2016";"20:45";"H";"";"Tschechien";"4-2-3-1";"51.299";"3:0";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Di. 11.10.2016";"20:45";"H";"";"Nordirland";"4-2-3-1";"42.135";"2:0";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Fr. 11.11.2016";"20:45";"A";"";"San Marino";"4-2-3-1";"3.851";"0:8";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"So. 26.03.2017";"18:00";"A";"";"Aserbaidschan";"4-2-3-1";"30.000";"1:4";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Sa. 10.06.2017";"20:45";"H";"";"San Marino";"3-4-2-1";"32.467";"7:0";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Fr. 01.09.2017";"20:45";"A";"";"Tschechien";"3-5-2 offensiv";"18.093";"1:2";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Mo. 04.09.2017";"20:45";"H";"";"Norwegen";"4-2-3-1";"53.814";"6:0";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"Do. 05.10.2017";"20:45";"A";"";"Nordirland";"4-2-3-1";"18.104";"1:3";"WM-Qualifikation Europa";"deutschland"
"Gruppe C";"So. 08.10.2017";"20:45";"H";"";"Aserbaidschan";"3-5-2";"37.613";"5:1";"WM-Qualifikation Europa";"deutschland"
"Gruppe J";"Do. 25.03.2021";"20:45";"H";"";"Island";"4-3-3 offensiv";"x";"3:0";"WM-Qualifikation Europa";"deutschland"
"Gruppe J";"So. 28.03.2021";"20:45";"A";"";"Rumänien";"4-3-3 offensiv";"x";"0:1";"WM-Qualifikation Europa";"deutschland"
"Gruppe J";"Mi. 31.03.2021";"20:45";"H";"";"Nordmazedonien";"4-3-3 offensiv";"x";"1:2";"WM-Qualifikation Europa";"deutschland"
"Gruppe J";"Do. 02.09.2021";"20:45";"A";"";"Liechtenstein";"4-2-3-1";"7.958";"0:2";"WM-Qualifikation Europa";"deutschland"
"Gruppe J";"So. 05.09.2021";"20:45";"H";"";"Armenien";"4-2-3-1";"18.086";"6:0";"WM-Qualifikation Europa";"deutschland"
"Gruppe J";"Mi. 08.09.2021";"20:45";"A";"";"Island";"4-2-3-1";"3.600";"0:4";"WM-Qualifikation Europa";"deutschland"
"Gruppe J";"Fr. 08.10.2021";"20:45";"H";"";"Rumänien";"4-2-3-1";"25.000";"2:1";"WM-Qualifikation Europa";"deutschland"
"Gruppe J";"Mo. 11.10.2021";"20:45";"A";"";"Nordmazedonien";"4-2-3-1";"16.182";"0:4";"WM-Qualifikation Europa";"deutschland"
"Gruppe J";"Do. 11.11.2021";"20:45";"H";"";"Liechtenstein";"4-2-3-1";"25.984";"9:0";"WM-Qualifikation Europa";"deutschland"
"Gruppe J";"So. 14.11.2021";"18:00";"A";"";"Armenien";"4-2-3-1";"";"1:4";"WM-Qualifikation Europa";"deutschland"
"Gruppe F";"Fr. 07.09.2012";"20:45";"A";"";"Luxemburg";"4-3-3 offensiv";"8.054";"1:2";"WM-Qualifikation Europa";"portugal"
"Gruppe F";"Di. 11.09.2012";"21:15";"H";"";"Aserbaidschan";"4-3-3 offensiv";"29.972";"3:0";"WM-Qualifikation Europa";"portugal"
"Gruppe F";"Fr. 12.10.2012";"17:00";"A";"";"Russland";"4-3-3 offensiv";"54.212";"1:0";"WM-Qualifikation Europa";"portugal"
"Gruppe F";"Di. 16.10.2012";"21:45";"H";"";"Nordirland";"4-3-3 offensiv";"48.711";"1:1";"WM-Qualifikation Europa";"portugal"
"Gruppe F";"Fr. 22.03.2013";"13:45";"A";"";"Israel";"4-3-3 offensiv";"38.600";"3:3";"WM-Qualifikation Europa";"portugal"
